150	0	35	18387	10	232	24	17477	3	4894	1	4806	4	9700	0	0	1	0	3	3	39	503	1089	8066
151	0	33	18420	31	263	15	17492	1	4895	0	4806	1	9701	0	0	0	1	0	3	39	503	1090	8066
152	0	20	18440	4	267	21	17513	2	4897	1	4807	3	9704	0	0	0	1	2	3	39	503	1091	8068
153	0	11	18451	-14	253	33	17546	1	4898	1	4808	2	9706	0	0	0	0	2	3	39	503	1091	8070
154	0	26	18477	6	259	27	17573	3	4901	0	4808	3	9709	0	0	0	0	3	3	39	503	1091	8073
155	0	23	18500	12	271	17	17590	1	4902	1	4809	2	9711	0	0	0	0	2	3	39	503	1091	8075
156	0	24	18524	19	290	8	17598	3	4905	2	4811	5	9716	0	0	0	1	4	3	39	503	1092	8079
157	0	18	18542	-25	265	41	17639	2	4907	1	4812	3	9719	0	0	0	1	2	3	39	503	1093	8081
158	0	41	18583	28	293	22	17661	5	4912	0	4812	5	9724	0	0	1	0	4	3	39	504	1093	8085
159	0	28	18611	-15	278	39	17700	4	4916	1	4813	5	9729	0	1	0	1	3	3	40	504	1094	8088
160	0	27	18638	7	285	28	17728	1	4917	3	4816	4	9733	0	0	0	0	4	3	40	504	1094	8092
161	0	31	18669	-4	281	39	17767	3	4920	3	4819	6	9739	0	0	0	0	6	3	40	504	1094	8098
162	0	20	18689	4	285	14	17781	2	4922	0	4819	2	9741	0	0	0	0	2	3	40	504	1094	8100
163	0	33	18722	27	312	12	17793	4	4926	1	4820	5	9746	0	1	0	0	4	3	41	504	1094	8104
164	0	48	18770	-5	307	49	17842	7	4933	4	4824	11	9757	0	0	1	4	6	3	41	505	1098	8110
165	0	30	18800	-6	301	42	17884	11	4944	2	4826	13	9770	0	0	2	0	11	3	41	507	1098	8121
166	0	42	18842	8	309	30	17914	8	4952	3	4829	11	9781	0	0	1	1	9	3	41	508	1099	8130
167	0	28	18870	3	312	28	17942	5	4957	7	4836	12	9793	0	0	1	3	8	3	41	509	1102	8138
168	0	35	18905	-3	309	40	17982	6	4963	6	4842	12	9805	1	0	0	0	11	4	41	509	1102	8149
169	0	28	18933	28	337	13	17995	4	4967	5	4847	9	9814	0	0	1	0	8	4	41	510	1102	8157
170	0	14	18947	4	341	9	18004	6	4973	1	4848	7	9821	0	0	0	1	6	4	41	510	1103	8163
171	0	31	18978	-6	335	45	18049	5	4978	2	4850	7	9828	0	0	0	1	6	4	41	510	1104	8169
172	0	35	19013	-1	334	30	18079	11	4989	0	4850	11	9839	0	1	2	3	5	4	42	512	1107	8174
173	0	25	19038	-31	303	53	18132	2	4991	7	4857	9	9848	0	0	0	0	9	4	42	512	1107	8183
174	0	27	19065	11	314	34	18166	2	4993	2	4859	4	9852	0	0	0	1	3	4	42	512	1108	8186
175	0	22	19087	-4	310	39	18205	1	4994	2	4861	3	9855	0	0	0	0	3	4	42	512	1108	8189
176	0	16	19103	2	312	21	18226	4	4998	1	4862	5	9860	0	0	1	1	3	4	42	513	1109	8192
177	0	16	19119	8	320	17	18243	3	5001	0	4862	3	9863	0	0	0	0	3	4	42	513	1109	8195
178	0	12	19131	-38	282	49	18292	4	5005	1	4863	5	9868	0	0	1	1	3	4	42	514	1110	8198
179	0	20	19151	-22	260	40	18332	5	5010	0	4863	5	9873	0	0	0	1	4	4	42	514	1111	8202
180	0	18	19169	-3	257	30	18362	2	5012	2	4865	4	9877	0	0	1	0	3	4	42	515	1111	8205
181	0	18	19187	-5	252	22	18384	3	5015	0	4865	3	9880	0	1	1	0	1	4	43	516	1111	8206
182	0	6	19193	-22	230	21	18405	2	5017	2	4867	4	9884	0	0	1	0	3	4	43	517	1111	8209
183	0	13	19206	3	233	12	18417	5	5022	1	4868	6	9890	0	0	1	0	5	4	43	518	1111	8214
184	0	14	19220	10	243	7	18424	1	5023	0	4868	1	9891	0	0	0	0	1	4	43	518	1111	8215
185	0	24	19244	-17	226	35	18459	2	5025	1	4869	3	9894	0	0	0	1	2	4	43	518	1112	8217
186	0	24	19268	-5	221	33	18492	2	5027	1	4870	3	9897	0	1	0	0	2	4	44	518	1112	8219
187	0	11	19279	-12	209	23	18515	2	5029	0	4870	2	9899	0	0	2	0	0	4	44	520	1112	8219
188	0	18	19297	6	215	21	18536	2	5031	2	4872	4	9903	0	0	0	1	3	4	44	520	1113	8222
189	0	14	19311	0	215	21	18557	0	5031	2	4874	2	9905	0	0	0	1	1	4	44	520	1114	8223
190	0	14	19325	8	223	10	18567	1	5032	0	4874	1	9906	0	0	1	0	0	4	44	521	1114	8223
191	0	24	19349	12	235	9	18576	2	5034	0	4874	2	9908	0	0	0	1	1	4	44	521	1115	8224
192	0	40	19389	25	260	26	18602	4	5038	0	4874	4	9912	0	0	1	1	2	4	44	522	1116	8226
193	0	23	19412	-10	250	33	18635	3	5041	0	4874	3	9915	0	0	2	0	1	4	44	524	1116	8227
194	0	23	19435	-1	249	24	18659	2	5043	0	4874	2	9917	0	0	0	0	2	4	44	524	1116	8229
195	0	28	19463	5	254	30	18689	3	5046	0	4874	3	9920	0	0	0	2	1	4	44	524	1118	8230
196	0	34	19497	6	260	21	18710	4	5050	1	4875	5	9925	0	0	1	1	3	4	44	525	1119	8233
197	0	41	19538	33	293	14	18724	1	5051	0	4875	1	9926	0	0	0	0	1	4	44	525	1119	8234
198	0	31	19569	25	318	14	18738	1	5052	0	4875	1	9927	0	0	0	0	1	4	44	525	1119	8235
199	0	47	19616	-3	315	52	18790	2	5054	2	4877	4	9931	0	0	1	1	2	4	44	526	1120	8237
200	0	42	19658	38	353	21	18811	2	5056	1	4878	3	9934	0	0	0	0	3	4	44	526	1120	8240
201	0	47	19705	18	371	44	18855	1	5057	1	4879	2	9936	0	0	0	0	2	4	44	526	1120	8242
202	0	48	19753	21	392	55	18910	0	5057	1	4880	1	9937	0	0	0	0	1	4	44	526	1120	8243
203	0	55	19808	29	421	37	18947	5	5062	1	4881	6	9943	0	0	0	1	5	4	44	526	1121	8248
204	0	47	19855	11	432	20	18967	7	5069	1	4882	8	9951	0	0	1	1	6	4	44	527	1122	8254
205	0	58	19913	58	490	18	18985	2	5071	1	4883	3	9954	0	0	0	0	3	4	44	527	1122	8257
206	0	68	19981	15	505	62	19047	3	5074	0	4883	3	9957	0	0	1	0	2	4	44	528	1122	8259
207	0	70	20051	45	550	40	19087	1	5075	0	4883	1	9958	0	0	0	0	1	4	44	528	1122	8260
208	0	83	20134	52	602	43	19130	6	5081	2	4885	8	9966	0	0	0	2	6	4	44	528	1124	8266
209	0	72	20206	18	620	61	19191	4	5085	0	4885	4	9970	0	0	0	0	4	4	44	528	1124	8270
210	0	51	20257	6	626	62	19253	5	5090	0	4885	5	9975	0	0	1	0	4	4	44	529	1124	8274
211	0	46	20303	28	654	29	19282	4	5094	2	4887	6	9981	0	0	1	1	4	4	44	530	1125	8278
212	0	61	20364	54	708	26	19308	7	5101	5	4892	12	9993	0	0	1	3	8	4	44	531	1128	8286
213	0	84	20448	8	716	85	19393	11	5112	2	4894	13	10006	0	0	3	3	7	4	44	534	1131	8293
214	0	84	20532	23	739	68	19461	8	5120	2	4896	10	10016	0	0	0	1	9	4	44	534	1132	8302
215	0	87	20619	32	771	67	19528	5	5125	1	4897	6	10022	0	0	1	2	3	4	44	535	1134	8305
216	0	66	20685	18	789	50	19578	14	5139	1	4898	15	10037	0	0	2	3	10	4	44	537	1137	8315
217	0	73	20758	30	819	74	19652	9	5148	2	4900	11	10048	0	0	0	2	9	4	44	537	1139	8324
218	0	86	20844	47	866	34	19686	14	5162	1	4901	15	10063	0	0	0	4	11	4	44	537	1143	8335
219	0	87	20931	71	937	33	19719	12	5174	2	4903	14	10077	0	0	0	1	13	4	44	537	1144	8348
220	0	104	21035	15	952	93	19812	10	5184	4	4907	14	10091	0	0	2	0	12	4	44	539	1144	8360
221	0	132	21167	98	1050	83	19895	11	5195	7	4914	18	10109	0	0	1	2	15	4	44	540	1146	8375
222	0	124	21291	60	1110	86	19981	15	5210	5	4919	20	10129	0	1	0	3	16	4	45	540	1149	8391
223	0	142	21433	79	1189	91	20072	16	5226	4	4923	20	10149	0	0	3	5	12	4	45	543	1154	8403
224	0	160	21593	68	1257	130	20202	18	5244	1	4924	19	10168	0	0	1	1	17	4	45	544	1155	8420
225	0	131	21724	74	1331	71	20273	17	5261	5	4929	22	10190	0	0	1	5	16	4	45	545	1160	8436
226	0	165	21889	142	1473	52	20325	19	5280	6	4935	25	10215	0	0	0	3	22	4	45	545	1163	8458
227	0	211	22100	148	1621	127	20452	28	5308	8	4943	36	10251	0	0	2	4	30	4	45	547	1167	8488
228	0	255	22355	157	1778	135	20587	19	5327	15	4958	34	10285	0	0	0	4	30	4	45	547	1171	8518
229	0	284	22639	173	1951	133	20720	32	5359	9	4967	41	10326	0	0	1	6	34	4	45	548	1177	8552
230	0	240	22879	148	2099	147	20867	27	5386	8	4975	35	10361	0	0	1	7	27	4	45	549	1184	8579
231	0	352	23231	168	2267	210	21077	30	5416	5	4980	35	10396	0	0	0	3	32	4	45	549	1187	8611
232	0	263	23494	230	2497	83	21160	20	5436	3	4983	23	10419	0	1	1	5	16	4	46	550	1192	8627
233	0	263	23757	276	2773	57	21217	23	5459	8	4991	31	10450	0	0	3	3	25	4	46	553	1195	8652
234	0	411	24168	196	2969	262	21479	36	5495	11	5002	50	10500	0	0	3	6	41	4	46	556	1201	8693
235	0	423	24591	306	3275	242	21721	32	5527	18	5020	50	10550	0	0	4	4	42	4	46	560	1205	8735
236	0	496	25087	374	3649	269	21990	43	5570	13	5033	56	10606	0	0	2	9	45	4	46	562	1214	8780
237	0	594	25681	408	4057	317	22307	42	5612	12	5045	54	10660	0	0	0	9	45	4	46	562	1223	8825
238	0	593	26274	351	4408	351	22658	74	5686	21	5066	95	10755	0	1	5	8	81	4	47	567	1231	8906
239	0	509	26783	417	4825	213	22871	68	5754	20	5086	88	10843	0	0	6	11	71	4	47	573	1242	8977
240	0	527	27310	435	5260	169	23040	66	5820	28	5114	94	10937	0	1	2	16	75	4	48	575	1258	9052
241	0	690	28000	289	5549	475	23515	91	5911	28	5142	119	11056	0	0	7	16	96	4	48	582	1274	9148
242	0	743	28743	375	5924	465	23980	87	5998	43	5185	130	11186	0	0	8	15	107	4	48	590	1289	9255
243	0	673	29416	263	6187	474	24454	98	6096	32	5217	130	11316	0	1	5	19	105	4	49	595	1308	9360
244	0	720	30136	251	6438	463	24917	98	6194	13	5230	111	11427	0	1	7	17	86	4	50	602	1325	9446
